CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PES,RSP,FXP,CAND_IND1,PRI_PRD,PT_PVEM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2134,2,115,126,27,8,23,27,128,4,3,202,27,1,0,691,0,17,708,1398
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2135,2,129,113,29,4,26,21,199,2,6,121,26,3,0,679,0,31,710,1263
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2136,4,169,220,46,8,46,27,228,5,12,220,15,4,0,1000,0,51,1051,2163
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2137,3,147,188,27,5,51,20,260,12,9,312,46,2,0,1079,0,33,1112,1992
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2138,2,136,168,29,1,26,17,184,2,5,168,22,1,0,759,0,22,781,1356
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2139,2,135,125,40,2,30,24,209,1,5,230,39,2,0,842,1,15,858,1410
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2140,3,176,166,57,14,37,22,233,6,3,345,60,1,0,1120,0,33,1153,1811
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2141,2,110,97,24,2,21,15,109,1,1,128,13,4,0,525,1,17,543,824
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2142,3,203,224,20,3,20,44,229,3,4,261,26,2,0,1039,0,17,1056,1691
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2143,1,94,71,12,2,17,6,128,1,2,103,20,1,0,457,0,11,468,726
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2144,1,81,69,17,3,18,11,98,2,0,89,11,1,0,400,0,7,407,630
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2145,2,68,116,11,10,21,20,122,5,4,201,40,1,0,619,0,18,637,1238
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2146,2,70,105,7,7,26,7,79,2,1,161,39,0,0,504,0,21,525,1021
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2147,3,82,216,28,12,20,49,160,0,10,226,23,4,0,830,0,33,863,1633
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2148,3,111,194,27,17,69,44,151,3,6,292,84,1,0,999,0,36,1035,2114
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2149,2,143,86,28,9,63,10,87,3,5,186,15,2,0,637,0,23,660,1066
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2150,1,63,93,11,1,13,3,77,1,0,83,13,2,0,360,0,4,364,575
